"Kod";"Nazwa";"ogółem;ogółem;2024;[osoba]";
1200000;"MAŁOPOLSKIE";3429084;
1201000;"Powiat bocheński";106985;
1201011;"Bochnia (1)";28339;
1201022;"Bochnia (2)";20867;
1201032;"Drwinia (2)";6354;
1201042;"Lipnica Murowana (2)";5514;
1201052;"Łapanów (2)";8652;
1201063;"Nowy Wiśnicz (3)";14488;
1201064;"Nowy Wiśnicz - miasto (4)";2719;
1201065;"Nowy Wiśnicz - obszar wiejski (5)";11769;
1201072;"Rzezawa (2)";11544;
1201082;"Trzciana (2)";5702;
1201092;"Żegocina (2)";5525;
1202000;"Powiat brzeski";91340;
1202012;"Borzęcin (2)";8088;
1202023;"Brzesko (3)";35285;
1202024;"Brzesko - miasto (4)";15795;
1202025;"Brzesko - obszar wiejski (5)";19490;
1202033;"Czchów (3)";9665;
1202034;"Czchów - miasto (4)";2263;
1202035;"Czchów - obszar wiejski (5)";7402;
1202042;"Dębno (2)";14482;
1202052;"Gnojnik (2)";8103;
1202062;"Iwkowa (2)";6649;
1202072;"Szczurowa (2)";9068;
1203000;"Powiat chrzanowski";117756;
1203013;"Alwernia (3)";12307;
1203014;"Alwernia - miasto (4)";3211;
1203015;"Alwernia - obszar wiejski (5)";9096;
1203022;"Babice (2)";8987;
1203033;"Chrzanów (3)";43492;
1203034;"Chrzanów - miasto (4)";33522;
1203035;"Chrzanów - obszar wiejski (5)";9970;
1203043;"Libiąż (3)";20908;
1203044;"Libiąż - miasto (4)";15788;
1203045;"Libiąż - obszar wiejski (5)";5120;
1203053;"Trzebinia (3)";32062;
1203054;"Trzebinia - miasto (4)";18298;
1203055;"Trzebinia - obszar wiejski (5)";13764;
1204000;"Powiat dąbrowski";57253;
1204012;"Bolesław (2)";2628;
1204023;"Dąbrowa Tarnowska (3)";20869;
1204024;"Dąbrowa Tarnowska - miasto (4)";11393;
1204025;"Dąbrowa Tarnowska - obszar wiejski (5)";9476;
1204032;"Gręboszów (2)";3138;
1204042;"Mędrzechów (2)";3249;
1204052;"Olesno (2)";7618;
1204062;"Radgoszcz (2)";7388;
1204073;"Szczucin (3)";12363;
1204074;"Szczucin - miasto (4)";4065;
1204075;"Szczucin - obszar wiejski (5)";8298;
1205000;"Powiat gorlicki";104592;
1205011;"Gorlice (1)";25166;
1205023;"Biecz (3)";15966;
1205024;"Biecz - miasto (4)";4267;
1205025;"Biecz - obszar wiejski (5)";11699;
1205033;"Bobowa (3)";9594;
1205034;"Bobowa - miasto (4)";3067;
1205035;"Bobowa - obszar wiejski (5)";6527;
1205042;"Gorlice (2)";16902;
1205052;"Lipinki (2)";6654;
1205062;"Łużna (2)";8252;
1205072;"Moszczenica (2)";4921;
1205082;"Ropa (2)";5505;
1205092;"Sękowa (2)";4898;
1205102;"Uście Gorlickie (2)";6734;
1206000;"Powiat krakowski";304278;
1206012;"Czernichów (2)";15442;
1206022;"Igołomia-Wawrzeńczyce (2)";7852;
1206032;"Iwanowice (2)";9841;
1206042;"Jerzmanowice-Przeginia (2)";11144;
1206052;"Kocmyrzów-Luborzyca (2)";18638;
1206063;"Krzeszowice (3)";31831;
1206064;"Krzeszowice - miasto (4)";9763;
1206065;"Krzeszowice - obszar wiejski (5)";22068;
1206072;"Liszki (2)";18754;
1206082;"Michałowice (2)";13549;
1206092;"Mogilany (2)";16533;
1206103;"Skała (3)";10937;
1206104;"Skała - miasto (4)";3856;
1206105;"Skała - obszar wiejski (5)";7081;
1206113;"Skawina (3)";43999;
1206114;"Skawina - miasto (4)";23868;
1206115;"Skawina - obszar wiejski (5)";20131;
1206123;"Słomniki (3)";13657;
1206124;"Słomniki - miasto (4)";4159;
1206125;"Słomniki - obszar wiejski (5)";9498;
1206132;"Sułoszowa (2)";5635;
1206143;"Świątniki Górne (3)";11208;
1206144;"Świątniki Górne - miasto (4)";2387;
1206145;"Świątniki Górne - obszar wiejski (5)";8821;
1206152;"Wielka Wieś (2)";17342;
1206162;"Zabierzów (2)";29837;
1206172;"Zielonki (2)";28079;
1207000;"Powiat limanowski";131626;
1207011;"Limanowa (1)";14365;
1207021;"Mszana Dolna (1)";7807;
1207032;"Dobra (2)";10108;
1207042;"Jodłownik (2)";8770;
1207052;"Kamienica (2)";7802;
1207062;"Laskowa (2)";8147;
1207072;"Limanowa (2)";26127;
1207082;"Łukowica (2)";10194;
1207092;"Mszana Dolna (2)";17659;
1207102;"Niedźwiedź (2)";7326;
1207112;"Słopnice (2)";7032;
1207122;"Tymbark (2)";6289;
1208000;"Powiat miechowski";46305;
1208012;"Charsznica (2)";7001;
1208022;"Gołcza (2)";5880;
1208032;"Kozłów (2)";4385;
1208043;"Książ Wielki (3)";4792;
1208044;"Książ Wielki - miasto (4)";850;
1208045;"Książ Wielki - obszar wiejski (5)";3942;
1208053;"Miechów (3)";18563;
1208054;"Miechów - miasto (4)";10857;
1208055;"Miechów - obszar wiejski (5)";7706;
1208062;"Racławice (2)";2401;
1208072;"Słaboszów (2)";3283;
1209000;"Powiat myślenicki";129984;
1209013;"Dobczyce (3)";15556;
1209014;"Dobczyce - miasto (4)";6124;
1209015;"Dobczyce - obszar wiejski (5)";9432;
1209022;"Lubień (2)";10108;
1209033;"Myślenice (3)";45557;
1209034;"Myślenice - miasto (4)";17684;
1209035;"Myślenice - obszar wiejski (5)";27873;
1209042;"Pcim (2)";11068;
1209052;"Raciechowice (2)";6437;
1209062;"Siepraw (2)";9714;
1209073;"Sułkowice (3)";15221;
1209074;"Sułkowice - miasto (4)";6486;
1209075;"Sułkowice - obszar wiejski (5)";8735;
1209082;"Tokarnia (2)";8784;
1209092;"Wiśniowa (2)";7539;
1210000;"Powiat nowosądecki";214876;
1210011;"Grybów (1)";5918;
1210022;"Chełmiec (2)";29880;
1210032;"Gródek nad Dunajcem (2)";8858;
1210042;"Grybów (2)";25347;
1210052;"Kamionka Wielka (2)";10489;
1210062;"Korzenna (2)";14434;
1210073;"Krynica-Zdrój (3)";15446;
1210074;"Krynica-Zdrój - miasto (4)";9434;
1210075;"Krynica-Zdrój - obszar wiejski (5)";6012;
1210082;"Łabowa (2)";6059;
1210092;"Łącko (2)";16724;
1210102;"Łososina Dolna (2)";11187;
1210113;"Muszyna (3)";11100;
1210114;"Muszyna - miasto (4)";4435;
1210115;"Muszyna - obszar wiejski (5)";6665;
1210122;"Nawojowa (2)";8867;
1210133;"Piwniczna-Zdrój (3)";9826;
1210134;"Piwniczna-Zdrój - miasto (4)";5322;
1210135;"Piwniczna-Zdrój - obszar wiejski (5)";4504;
1210142;"Podegrodzie (2)";13640;
1210152;"Rytro (2)";3635;
1210163;"Stary Sącz (3)";23466;
1210164;"Stary Sącz - miasto (4)";8606;
1210165;"Stary Sącz - obszar wiejski (5)";14860;
1211000;"Powiat nowotarski";189984;
1211011;"Nowy Targ (1)";33040;
1211023;"Szczawnica (3)";6632;
1211024;"Szczawnica - miasto (4)";5192;
1211025;"Szczawnica - obszar wiejski (5)";1440;
1211033;"Czarny Dunajec (3)";22119;
1211034;"Czarny Dunajec - miasto (4)";3652;
1211035;"Czarny Dunajec - obszar wiejski (5)";18467;
1211042;"Czorsztyn (2)";7590;
1211052;"Jabłonka (2)";19213;
1211062;"Krościenko nad Dunajcem (2)";6602;
1211072;"Lipnica Wielka (2)";6061;
1211082;"Łapsze Niżne (2)";9265;
1211092;"Nowy Targ (2)";24054;
1211102;"Ochotnica Dolna (2)";8505;
1211112;"Raba Wyżna (2)";14438;
1211123;"Rabka-Zdrój (3)";16452;
1211124;"Rabka-Zdrój - miasto (4)";12135;
1211125;"Rabka-Zdrój - obszar wiejski (5)";4317;
1211132;"Spytkowice (2)";4703;
1211142;"Szaflary (2)";11310;
1212000;"Powiat olkuski";105000;
1212011;"Bukowno (1)";9288;
1212032;"Bolesław (2)";7488;
1212042;"Klucze (2)";14362;
1212053;"Olkusz (3)";45205;
1212054;"Olkusz - miasto (4)";31896;
1212055;"Olkusz - obszar wiejski (5)";13309;
1212062;"Trzyciąż (2)";6906;
1212073;"Wolbrom (3)";21751;
1212074;"Wolbrom - miasto (4)";8006;
1212075;"Wolbrom - obszar wiejski (5)";13745;
1213000;"Powiat oświęcimski";147678;
1213011;"Oświęcim (1)";35313;
1213023;"Brzeszcze (3)";20259;
1213024;"Brzeszcze - miasto (4)";10548;
1213025;"Brzeszcze - obszar wiejski (5)";9711;
1213033;"Chełmek (3)";12213;
1213034;"Chełmek - miasto (4)";8297;
1213035;"Chełmek - obszar wiejski (5)";3916;
1213043;"Kęty (3)";33146;
1213044;"Kęty - miasto (4)";17537;
1213045;"Kęty - obszar wiejski (5)";15609;
1213052;"Osiek (2)";8108;
1213062;"Oświęcim (2)";18977;
1213072;"Polanka Wielka (2)";4306;
1213082;"Przeciszów (2)";6309;
1213093;"Zator (3)";9047;
1213094;"Zator - miasto (4)";3576;
1213095;"Zator - obszar wiejski (5)";5471;
1214000;"Powiat proszowicki";41929;
1214012;"Koniusza (2)";9114;
1214023;"Koszyce (3)";5204;
1214024;"Koszyce - miasto (4)";765;
1214025;"Koszyce - obszar wiejski (5)";4439;
1214033;"Nowe Brzesko (3)";5620;
1214034;"Nowe Brzesko - miasto (4)";1593;
1214035;"Nowe Brzesko - obszar wiejski (5)";4027;
1214042;"Pałecznica (2)";3449;
1214053;"Proszowice (3)";15381;
1214054;"Proszowice - miasto (4)";5717;
1214055;"Proszowice - obszar wiejski (5)";9664;
1214062;"Radziemice (2)";3161;
1215000;"Powiat suski";82546;
1215011;"Jordanów (1)";5396;
1215021;"Sucha Beskidzka (1)";8727;
1215032;"Budzów (2)";8790;
1215042;"Bystra-Sidzina (2)";6825;
1215052;"Jordanów (2)";11148;
1215063;"Maków Podhalański (3)";15662;
1215064;"Maków Podhalański - miasto (4)";5497;
1215065;"Maków Podhalański - obszar wiejski (5)";10165;
1215072;"Stryszawa (2)";11866;
1215082;"Zawoja (2)";8754;
1215092;"Zembrzyce (2)";5378;
1216000;"Powiat tarnowski";197119;
1216013;"Ciężkowice (3)";10990;
1216014;"Ciężkowice - miasto (4)";2484;
1216015;"Ciężkowice - obszar wiejski (5)";8506;
1216022;"Gromnik (2)";8748;
1216032;"Lisia Góra (2)";15684;
1216042;"Pleśna (2)";11709;
1216053;"Radłów (3)";9367;
1216054;"Radłów - miasto (4)";2705;
1216055;"Radłów - obszar wiejski (5)";6662;
1216063;"Ryglice (3)";11134;
1216064;"Ryglice - miasto (4)";2644;
1216065;"Ryglice - obszar wiejski (5)";8490;
1216072;"Rzepiennik Strzyżewski (2)";6505;
1216082;"Skrzyszów (2)";14188;
1216092;"Tarnów (2)";26496;
1216103;"Tuchów (3)";16946;
1216104;"Tuchów - miasto (4)";6142;
1216105;"Tuchów - obszar wiejski (5)";10804;
1216112;"Wierzchosławice (2)";10461;
1216122;"Wietrzychowice (2)";3696;
1216133;"Wojnicz (3)";13054;
1216134;"Wojnicz - miasto (4)";3132;
1216135;"Wojnicz - obszar wiejski (5)";9922;
1216143;"Zakliczyn (3)";12337;
1216144;"Zakliczyn - miasto (4)";1572;
1216145;"Zakliczyn - obszar wiejski (5)";10765;
1216153;"Żabno (3)";18332;
1216154;"Żabno - miasto (4)";4077;
1216155;"Żabno - obszar wiejski (5)";14255;
1216162;"Szerzyny (2)";7472;
1217000;"Powiat tatrzański";66346;
1217011;"Zakopane (1)";25059;
1217022;"Biały Dunajec (2)";6807;
1217032;"Bukowina Tatrzańska (2)";13545;
1217042;"Kościelisko (2)";9122;
1217052;"Poronin (2)";11813;
1218000;"Powiat wadowicki";157099;
1218013;"Andrychów (3)";41731;
1218014;"Andrychów - miasto (4)";18071;
1218015;"Andrychów - obszar wiejski (5)";23660;
1218022;"Brzeźnica (2)";10879;
1218033;"Kalwaria Zebrzydowska (3)";19819;
1218034;"Kalwaria Zebrzydowska - miasto (4)";4267;
1218035;"Kalwaria Zebrzydowska - obszar wiejski (5)";15552;
1218042;"Lanckorona (2)";6252;
1218052;"Mucharz (2)";4185;
1218062;"Spytkowice (2)";10054;
1218072;"Stryszów (2)";6764;
1218082;"Tomice (2)";8318;
1218093;"Wadowice (3)";36262;
1218094;"Wadowice - miasto (4)";16929;
1218095;"Wadowice - obszar wiejski (5)";19333;
1218102;"Wieprz (2)";12835;
1219000;"Powiat wielicki";145276;
1219012;"Biskupice (2)";11929;
1219022;"Gdów (2)";18697;
1219032;"Kłaj (2)";11257;
1219043;"Niepołomice (3)";33602;
1219044;"Niepołomice - miasto (4)";17227;
1219045;"Niepołomice - obszar wiejski (5)";16375;
1219053;"Wieliczka (3)";69791;
1219054;"Wieliczka - miasto (4)";28173;
1219055;"Wieliczka - obszar wiejski (5)";41618;
1261000;"Powiat m. Kraków";809168;
1261011;"Kraków (1)";809168;
1262000;"Powiat m. Nowy Sącz";79821;
1262011;"Nowy Sącz (1)";79821;
1263000;"Powiat m. Tarnów";102123;
1263011;"Tarnów (1)";102123;
1400000;"MAZOWIECKIE";5508322;
1401000;"Powiat białobrzeski";32350;
1401013;"Białobrzegi (3)";9709;
1401014;"Białobrzegi - miasto (4)";6357;
1401015;"Białobrzegi - obszar wiejski (5)";3352;
1401022;"Promna (2)";5434;
1401032;"Radzanów (2)";3798;
1401042;"Stara Błotnica (2)";5404;
1401052;"Stromiec (2)";5352;
1401063;"Wyśmierzyce (3)";2653;
1401064;"Wyśmierzyce - miasto (4)";864;
1401065;"Wyśmierzyce - obszar wiejski (5)";1789;
1402000;"Powiat ciechanowski";84565;
1402011;"Ciechanów (1)";41474;
1402022;"Ciechanów (2)";7586;
1402033;"Glinojeck (3)";6987;
1402034;"Glinojeck - miasto (4)";2748;
1402035;"Glinojeck - obszar wiejski (5)";4239;
1402042;"Gołymin-Ośrodek (2)";3442;
1402052;"Grudusk (2)";3252;
1402062;"Ojrzeń (2)";4026;
1402072;"Opinogóra Górna (2)";5807;
1402082;"Regimin (2)";4680;
1402092;"Sońsk (2)";7311;
1403000;"Powiat garwoliński";105213;
1403011;"Garwolin (1)";17258;
1403021;"Łaskarzew (1)";4447;
1403032;"Borowie (2)";4900;
1403042;"Garwolin (2)";13504;
1403052;"Górzno (2)";6726;
1403062;"Łaskarzew (2)";5241;
1403073;"Maciejowice (3)";6298;
1403074;"Maciejowice - miasto (4)";1415;
1403075;"Maciejowice - obszar wiejski (5)";4883;
1403082;"Miastków Kościelny (2)";4584;
1403092;"Parysów (2)";4095;
1403103;"Pilawa (3)";10528;
1403104;"Pilawa - miasto (4)";4427;
1403105;"Pilawa - obszar wiejski (5)";6101;
1403112;"Sobolew (2)";7779;
1403122;"Trojanów (2)";7066;
1403132;"Wilga (2)";5088;
1403143;"Żelechów (3)";7699;
1403144;"Żelechów - miasto (4)";3655;
1403145;"Żelechów - obszar wiejski (5)";4044;
1404000;"Powiat gostyniński";41756;
1404011;"Gostynin (1)";16695;
1404022;"Gostynin (2)";11669;
1404032;"Pacyna (2)";3175;
1404043;"Sanniki (3)";5562;
1404044;"Sanniki - miasto (4)";1709;
1404045;"Sanniki - obszar wiejski (5)";3853;
1404052;"Szczawin Kościelny (2)";4655;
1405000;"Powiat grodziski";106973;
1405011;"Milanówek (1)";16317;
1405021;"Podkowa Leśna (1)";3741;
1405032;"Baranów (2)";5360;
1405043;"Grodzisk Mazowiecki (3)";56430;
1405044;"Grodzisk Mazowiecki - miasto (4)";35156;
1405045;"Grodzisk Mazowiecki - obszar wiejski (5)";21274;
1405052;"Jaktorów (2)";13675;
1405062;"Żabia Wola (2)";11450;
1406000;"Powiat grójecki";96662;
1406012;"Belsk Duży (2)";6140;
1406022;"Błędów (2)";6986;
1406032;"Chynów (2)";10119;
1406042;"Goszczyn (2)";2848;
1406053;"Grójec (3)";26181;
1406054;"Grójec - miasto (4)";16726;
1406055;"Grójec - obszar wiejski (5)";9455;
1406062;"Jasieniec (2)";5346;
1406073;"Mogielnica (3)";8097;
1406074;"Mogielnica - miasto (4)";2111;
1406075;"Mogielnica - obszar wiejski (5)";5986;
1406083;"Nowe Miasto nad Pilicą (3)";7041;
1406084;"Nowe Miasto nad Pilicą - miasto (4)";3430;
1406085;"Nowe Miasto nad Pilicą - obszar wiejski (5)";3611;
1406092;"Pniewy (2)";4864;
1406113;"Warka (3)";19040;
1406114;"Warka - miasto (4)";11870;
1406115;"Warka - obszar wiejski (5)";7170;
1407000;"Powiat kozienicki";56754;
1407012;"Garbatka-Letnisko (2)";4758;
1407023;"Głowaczów (3)";6624;
1407024;"Głowaczów - miasto (4)";807;
1407025;"Głowaczów - obszar wiejski (5)";5817;
1407032;"Gniewoszów (2)";3738;
1407042;"Grabów nad Pilicą (2)";4103;
1407053;"Kozienice (3)";27482;
1407054;"Kozienice - miasto (4)";15237;
1407055;"Kozienice - obszar wiejski (5)";12245;
1407063;"Magnuszew (3)";6340;
1407064;"Magnuszew - miasto (4)";973;
1407065;"Magnuszew - obszar wiejski (5)";5367;
1407072;"Sieciechów (2)";3709;
1408000;"Powiat legionowski";133097;
1408011;"Legionowo (1)";52247;
1408022;"Jabłonna (2)";23747;
1408032;"Nieporęt (2)";17401;
1408043;"Serock (3)";18148;
1408044;"Serock - miasto (4)";5381;
1408045;"Serock - obszar wiejski (5)";12767;
1408052;"Wieliszew (2)";21554;
1409000;"Powiat lipski";31251;
1409012;"Chotcza (2)";2160;
1409023;"Ciepielów (3)";5133;
1409024;"Ciepielów - miasto (4)";707;
1409025;"Ciepielów - obszar wiejski (5)";4426;
1409033;"Lipsko (3)";9968;
1409034;"Lipsko - miasto (4)";4912;
1409035;"Lipsko - obszar wiejski (5)";5056;
1409042;"Rzeczniów (2)";4015;
1409053;"Sienno (3)";5457;
1409054;"Sienno - miasto (4)";948;
1409055;"Sienno - obszar wiejski (5)";4509;
1409063;"Solec nad Wisłą (3)";4518;
1409064;"Solec nad Wisłą - miasto (4)";907;
1409065;"Solec nad Wisłą - obszar wiejski (5)";3611;
1410000;"Powiat łosicki";28338;
1410012;"Huszlew (2)";2600;
1410023;"Łosice (3)";10331;
1410024;"Łosice - miasto (4)";6777;
1410025;"Łosice - obszar wiejski (5)";3554;
1410032;"Olszanka (2)";2704;
1410042;"Platerów (2)";4325;
1410052;"Sarnaki (2)";4025;
1410062;"Stara Kornica (2)";4353;
1411000;"Powiat makowski";41254;
1411011;"Maków Mazowiecki (1)";8818;
1411022;"Czerwonka (2)";2537;
1411032;"Karniewo (2)";4780;
1411042;"Krasnosielc (2)";5801;
1411052;"Młynarze (2)";1610;
1411062;"Płoniawy-Bramura (2)";4763;
1411073;"Różan (3)";4174;
1411074;"Różan - miasto (4)";2566;
1411075;"Różan - obszar wiejski (5)";1608;
1411082;"Rzewnie (2)";2389;
1411092;"Sypniewo (2)";2879;
1411102;"Szelków (2)";3503;
1412000;"Powiat miński";159535;
1412011;"Mińsk Mazowiecki (1)";39645;
1412043;"Cegłów (3)";6073;
1412044;"Cegłów - miasto (4)";2344;
1412045;"Cegłów - obszar wiejski (5)";3729;
1412052;"Dębe Wielkie (2)";11956;
1412063;"Dobre (3)";5856;
1412064;"Dobre - miasto (4)";1823;
1412065;"Dobre - obszar wiejski (5)";4033;
1412073;"Halinów (3)";18287;
1412074;"Halinów - miasto (4)";3703;
1412075;"Halinów - obszar wiejski (5)";14584;
1412082;"Jakubów (2)";5071;
1412093;"Kałuszyn (3)";5480;
1412094;"Kałuszyn - miasto (4)";2675;
1412095;"Kałuszyn - obszar wiejski (5)";2805;
1412103;"Latowicz (3)";5109;
1412104;"Latowicz - miasto (4)";1343;
1412105;"Latowicz - obszar wiejski (5)";3766;
1412112;"Mińsk Mazowiecki (2)";17129;
1412123;"Mrozy (3)";8637;
1412124;"Mrozy - miasto (4)";3635;
1412125;"Mrozy - obszar wiejski (5)";5002;
1412133;"Siennica (3)";7688;
1412134;"Siennica - miasto (4)";2299;
1412135;"Siennica - obszar wiejski (5)";5389;
1412142;"Stanisławów (2)";7036;
1412151;"Sulejówek (1)";21568;
1413000;"Powiat mławski";68556;
1413011;"Mława (1)";30693;
1413022;"Dzierzgowo (2)";2704;
1413032;"Lipowiec Kościelny (2)";4421;
1413042;"Radzanów (2)";2872;
1413052;"Strzegowo (2)";6959;
1413062;"Stupsk (2)";4357;
1413072;"Szreńsk (2)";3744;
1413082;"Szydłowo (2)";4123;
1413092;"Wieczfnia Kościelna (2)";3597;
1413102;"Wiśniewo (2)";5086;
1414000;"Powiat nowodworski";79351;
1414011;"Nowy Dwór Mazowiecki (1)";28469;
1414022;"Czosnów (2)";11012;
1414032;"Leoncin (2)";5613;
1414043;"Nasielsk (3)";19139;
1414044;"Nasielsk - miasto (4)";7286;
1414045;"Nasielsk - obszar wiejski (5)";11853;
1414052;"Pomiechówek (2)";9287;
1414063;"Zakroczym (3)";5831;
1414064;"Zakroczym - miasto (4)";3119;
1414065;"Zakroczym - obszar wiejski (5)";2712;
1415000;"Powiat ostrołęcki";87397;
1415012;"Baranowo (2)";5924;
1415022;"Czarnia (2)";2206;
1415032;"Czerwin (2)";4674;
1415042;"Goworowo (2)";7784;
1415052;"Kadzidło (2)";11009;
1415062;"Lelis (2)";9906;
1415072;"Łyse (2)";8168;
1415083;"Myszyniec (3)";9906;
1415084;"Myszyniec - miasto (4)";3176;
1415085;"Myszyniec - obszar wiejski (5)";6730;
1415092;"Olszewo-Borki (2)";11035;
1415102;"Rzekuń (2)";12316;
1415112;"Troszyn (2)";4469;
1416000;"Powiat ostrowski";67854;
1416011;"Ostrów Mazowiecka (1)";21400;
1416022;"Andrzejewo (2)";3723;
1416032;"Boguty-Pianki (2)";2343;
1416043;"Brok (3)";2534;
1416044;"Brok - miasto (4)";1702;
1416045;"Brok - obszar wiejski (5)";832;
1416052;"Małkinia Górna (2)";10718;
1416062;"Nur (2)";2408;
1416072;"Ostrów Mazowiecka (2)";12562;
1416082;"Stary Lubotyń (2)";3556;
1416092;"Szulborze Wielkie (2)";1466;
1416102;"Wąsewo (2)";3907;
1416112;"Zaręby Kościelne (2)";3237;
1417000;"Powiat otwocki";126669;
1417011;"Józefów (1)";21235;
1417021;"Otwock (1)";43527;
1417032;"Celestynów (2)";11639;
1417043;"Karczew (3)";15831;
1417044;"Karczew - miasto (4)";9191;
1417045;"Karczew - obszar wiejski (5)";6640;
1417052;"Kołbiel (2)";8320;
1417063;"Osieck (3)";3651;
1417064;"Osieck - miasto (4)";1104;
1417065;"Osieck - obszar wiejski (5)";2547;
1417072;"Sobienie-Jeziory (2)";6190;
1417082;"Wiązowna (2)";16276;
1418000;"Powiat piaseczyński";217738;
1418013;"Góra Kalwaria (3)";28622;
1418014;"Góra Kalwaria - miasto (4)";12216;
1418015;"Góra Kalwaria - obszar wiejski (5)";16406;
1418023;"Konstancin-Jeziorna (3)";25012;
1418024;"Konstancin-Jeziorna - miasto (4)";16777;
1418025;"Konstancin-Jeziorna - obszar wiejski (5)";8235;
1418032;"Lesznowola (2)";39913;
1418043;"Piaseczno (3)";97948;
1418044;"Piaseczno - miasto (4)";51678;
1418045;"Piaseczno - obszar wiejski (5)";46270;
1418052;"Prażmów (2)";13654;
1418063;"Tarczyn (3)";12589;
1418064;"Tarczyn - miasto (4)";4371;
1418065;"Tarczyn - obszar wiejski (5)";8218;
1419000;"Powiat płocki";109144;
1419012;"Bielsk (2)";8812;
1419023;"Bodzanów (3)";7699;
1419024;"Bodzanów - miasto (4)";1132;
1419025;"Bodzanów - obszar wiejski (5)";6567;
1419032;"Brudzeń Duży (2)";8160;
1419042;"Bulkowo (2)";5165;
1419053;"Drobin (3)";7200;
1419054;"Drobin - miasto (4)";2604;
1419055;"Drobin - obszar wiejski (5)";4596;
1419063;"Gąbin (3)";11097;
1419064;"Gąbin - miasto (4)";4108;
1419065;"Gąbin - obszar wiejski (5)";6989;
1419072;"Łąck (2)";5412;
1419082;"Mała Wieś (2)";5603;
1419092;"Nowy Duninów (2)";3929;
1419102;"Radzanowo (2)";8808;
1419112;"Słubice (2)";4082;
1419122;"Słupno (2)";9135;
1419132;"Stara Biała (2)";12237;
1419142;"Staroźreby (2)";6681;
1419153;"Wyszogród (3)";5124;
1419154;"Wyszogród - miasto (4)";2344;
1419155;"Wyszogród - obszar wiejski (5)";2780;
1420000;"Powiat płoński";83436;
1420011;"Płońsk (1)";21381;
1420021;"Raciąż (1)";3932;
1420032;"Baboszewo (2)";7346;
1420043;"Czerwińsk nad Wisłą (3)";7067;
1420044;"Czerwińsk nad Wisłą - miasto (4)";975;
1420045;"Czerwińsk nad Wisłą - obszar wiejski (5)";6092;
1420052;"Dzierzążnia (2)";3330;
1420062;"Joniec (2)";2800;
1420072;"Naruszewo (2)";5839;
1420083;"Nowe Miasto (3)";4548;
1420084;"Nowe Miasto - miasto (4)";1510;
1420085;"Nowe Miasto - obszar wiejski (5)";3038;
1420092;"Płońsk (2)";8471;
1420102;"Raciąż (2)";7714;
1420113;"Sochocin (3)";5558;
1420114;"Sochocin - miasto (4)";1894;
1420115;"Sochocin - obszar wiejski (5)";3664;
1420122;"Załuski (2)";5450;
1421000;"Powiat pruszkowski";181026;
1421011;"Piastów (1)";22719;
1421021;"Pruszków (1)";65686;
1421033;"Brwinów (3)";30164;
1421034;"Brwinów - miasto (4)";14624;
1421035;"Brwinów - obszar wiejski (5)";15540;
1421042;"Michałowice (2)";19496;
1421052;"Nadarzyn (2)";18761;
1421062;"Raszyn (2)";24200;
1422000;"Powiat przasnyski";48615;
1422011;"Przasnysz (1)";16189;
1422023;"Chorzele (3)";9184;
1422024;"Chorzele - miasto (4)";2879;
1422025;"Chorzele - obszar wiejski (5)";6305;
1422032;"Czernice Borowe (2)";3456;
1422042;"Jednorożec (2)";6575;
1422052;"Krasne (2)";3212;
1422062;"Krzynowłoga Mała (2)";3192;
1422072;"Przasnysz (2)";6807;
1423000;"Powiat przysuski";38291;
1423012;"Borkowice (2)";3964;
1423023;"Gielniów (3)";4238;
1423024;"Gielniów - miasto (4)";768;
1423025;"Gielniów - obszar wiejski (5)";3470;
1423032;"Klwów (2)";3087;
1423043;"Odrzywół (3)";3353;
1423044;"Odrzywół - miasto (4)";993;
1423045;"Odrzywół - obszar wiejski (5)";2360;
1423052;"Potworów (2)";3976;
1423063;"Przysucha (3)";10689;
1423064;"Przysucha - miasto (4)";5191;
1423065;"Przysucha - obszar wiejski (5)";5498;
1423072;"Rusinów (2)";3959;
1423082;"Wieniawa (2)";5025;
1424000;"Powiat pułtuski";50163;
1424012;"Gzy (2)";3509;
1424022;"Obryte (2)";4301;
1424032;"Pokrzywnica (2)";5143;
1424043;"Pułtusk (3)";24084;
1424044;"Pułtusk - miasto (4)";18973;
1424045;"Pułtusk - obszar wiejski (5)";5111;
1424052;"Świercze (2)";4445;
1424062;"Winnica (2)";3974;
1424072;"Zatory (2)";4707;
1425000;"Powiat radomski";151367;
1425011;"Pionki (1)";15824;
1425022;"Gózd (2)";9626;
1425033;"Iłża (3)";13428;
1425034;"Iłża - miasto (4)";4182;
1425035;"Iłża - obszar wiejski (5)";9246;
1425042;"Jastrzębia (2)";7134;
1425052;"Jedlińsk (2)";14612;
1425063;"Jedlnia-Letnisko (3)";13661;
1425064;"Jedlnia-Letnisko - miasto (4)";3972;
1425065;"Jedlnia-Letnisko - obszar wiejski (5)";9689;
1425072;"Kowala (2)";12493;
1425082;"Pionki (2)";9640;
1425093;"Przytyk (3)";7058;
1425094;"Przytyk - miasto (4)";906;
1425095;"Przytyk - obszar wiejski (5)";6152;
1425103;"Skaryszew (3)";15581;
1425104;"Skaryszew - miasto (4)";4446;
1425105;"Skaryszew - obszar wiejski (5)";11135;
1425112;"Wierzbica (2)";9113;
1425122;"Wolanów (2)";9049;
1425132;"Zakrzew (2)";14148;
1426000;"Powiat siedlecki";80446;
1426012;"Domanice (2)";2480;
1426022;"Korczew (2)";2306;
